Organization Name,Organization Name URL,IPO Status,Company Type,Industries,Number of Employees,Headquarters Location,CB Rank (Organization),Stage,CB Rank (Company),Stock Symbol,Stock Symbol URL,Similar Companies,CB Rank (School),Number of Events,Stock Exchange,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Delisted Date,Delisted Date Precision,IPO Date,Acquisition Terms,Acquisition Type,Price,Price Currency,Price (in USD),Announced Date,Announced Date Precision,Acquired by,Acquired by URL,Transaction Name,Transaction Name URL,Acquisition Status,Number of Acquisitions,Number of Investors,Number of Lead Investors,Top 5 Investors,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Date,Funding Status,Number of Funding Rounds,Founders,Number of Founders,Industry Groups,Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Investment Stage,Investor Type,Full Description,Phone Number,Contact Email,LinkedIn,Website,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Founded Date,Founded Date Precision,Operating Status,Description,Estimated Revenue Range,Postal Code,Headquarters Regions,Number of Portfolio Organizations
Speed2Net,https://www.crunchbase.com/organization/speed2net,Private,For Profit,"Apps, Business Development, Events, Mobile Apps",,"Turin, Piemonte, Italy","1,656,544",,"1,597,919",,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roberto Righetti,1.0,"Apps, Events, Media and Entertainment, Mobile, Professional Services, Software",,,,,,"Speed2Net provides real or virtual interaction between people is a value to be protected and is the basis of doing phygital networking. They rediscover and enhance the role of the human being who will be able to experiment and thus discover new frontiers and new opportunities to be seized. The customer contact through phone number, email, and application form.",+39  3356520113,r.righetti@speed2net.com,https://www.linkedin.com/company/speed2net,https://speed2net.com,,,,,2020-01-01,year,Active,Speed2Net is an app for business networks.,,10129,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Spector Padel House,https://www.crunchbase.com/organization/spector-padel-house,Private,For Profit,Sports,11-50,"Milan, Lombardia, Italy","872,735",,"830,135",,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Guido Giardini, Gustavo Spector, Nicola Dolci",3.0,Sports,,,,,,"Spector Padel House (SPH) is a fast-growing company developing the #1 padel-clubs-network in Italy. We design, develop and manage padel clubs following the ""Spector Methodology"" - focusing on customer value and leveraging an integrated operational approach. The company is named after Mr Gustavo Spector, Head Coach of the Italian National Padel Team.  Padel is an energetic and inclusive discipline expanding across all EMEA - Gustavo is one of the main ambassadors.  The ""Spector Methodology"" is a technical, academic, and organizational manifesto developed by Gustavo in 30+ years of experience in the padel industry. We operate across the entire padel-industry value-chain spectrum providing Location Scouting - Concept - Branding - Product - Operations - Events - Marketing - Community - CRM and Reporting. SPH runs each padel-club of the network according to the guiding principles set forth in the 2021-2023 business plan, aimed at ensuring a solid and rapid growth both in volumes and market shares. SPH people are keen on being on the cutting edge of the European sport industry, delivering excellence in padel and creating value for all stakeholders.",,info@spectorhouse.com,https://www.linkedin.com/company/spector-padel-house/,https://spectorhouse.com/,,,,,2021-01-22,day,Active,"We design, develop, and operate padel clubs following the ""Spector Methodology""- delivering the best padel experience",,20143,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Spazio App,https://www.crunchbase.com/organization/spazio-app,Private,For Profit,"Health Care, Information Technology, Product Design",1-10,"Milan, Lombardia, Italy","3,411,292",,"3,323,233",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Design, Health Care, Information Technology",,,,,,"Spazio App finds new solutions to unwind and relax by implementing all the new digital and technological technologies in our products, without forgetting the design that has always identified products. they provide devices for health and comfort care.",+39 028 971 0066,info@spazioapp.it,,https://www.spazioapp.it,,,,,2018-01-01,year,Active,Spazio App uses technologies to design devices and products for health and comfort care.,,20121,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Spanish Club - Italy,https://www.crunchbase.com/organization/spanish-club-italy,Private,For Profit,"E-Commerce, Food and Beverage",11-50,"Rome, Lazio, Italy","2,260,035",,"2,192,509",,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Food and Beverage",,,,,,"Launched to the public in May 2022, Spanish Club - Italy is an online venture specialized in promoting, selling, and making more accessible to direct consumers based in Italy gourmet and delicatessen food products, wines, and liquors handcrafted and produced in Spain. spanishclub.it e-commerce shop is 100% owned and managed by the Spanish-based private limited firm Fevech Gourmet eVentures S.L., or Feve.ch in short.",+34618375955,hola@spanishclub.it,,https://spanishclub.it/,,,,,2020-11-24,day,Active,"Spanish Club - Italy is an e-commerce venture specialized in selling artisan & gourmet food products, wines & liquors from Spain to Italy.",,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
SosPediatra,https://www.crunchbase.com/organization/sospediatra,Private,For Profit,"Apps, Health Care, Medical, Mobile Apps, Wellness",1-10,"Milan, Lombardia, Italy","1,879,244",,"1,817,268",,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apps, Health Care, Mobile, Software",,,,,,"SosPediatra is a tool for parents and pediatricians to communicate with one another. It provides pediatric home visits 7 days a week, 24 hours a day. It provides video consultation and if parents need a doctor to visit their child directly, they can book a home visit through the app. They also provide courses that will help to deal with the most common health problems of children and to be more prepared for pediatric management.",+39 375 652 9417,info@sospediatra.org,https://www.linkedin.com/company/sospediatra,https://www.sospediatra.org,,,,,2019-01-01,year,Active,SosPediatra is an app that provides pediatric home visits.,Less than $1M,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Sonoelettrica.it,https://www.crunchbase.com/organization/sonoelettrica-it,Private,For Profit,"Automotive, Electronics, Industrial Manufacturing, Manufacturing",,"Milan, Lombardia, Italy","2,789,273",,"2,714,059",,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Transportation",,,,,,Sonoelettrica.it provides restoration issues from the viewpoint of industrial manufacturing to craft workshops. They offer manufacturers a way to transform the technology into equipment for mechanics' stores that transforms into mechatronics for installation in the consumers' automobiles.,+39 329 616 9683,sonoelettrica@sonoelettrica.it,,https://sonoelettrica.it,,,,,2019-01-01,year,Active,Sonoelettrica.it is a manufacturer of motor vehicles and trucks.,,20147,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Solvo,https://www.crunchbase.com/organization/solvo-373f,Private,For Profit,,1-10,"Milan, Lombardia, Italy","1,943,408",,"1,880,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+393331718527,info@solvosrl.com,https://www.linkedin.com/company/solvo-srl/,http://www.solvosrl.com,,,,,2022-05-24,day,Active,Solution for Innovation - numerical software,,20131,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Soluzione Prestito,https://www.crunchbase.com/organization/soluzioneprestito,Private,For Profit,"Financial Services, Lending, Professional Services",101-250,"Milan, Lombardia, Italy","2,876,325",,"2,799,655",,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Financial Services, Other",,,,,,,+39 02 50077,info@soluzioneprestito.it,https://www.linkedin.com/company/soluzioneprestito/,https://www.soluzioneprestito.it/,,,,,2020-04-01,month,Active,"Soluzione Prestito is the provider of loans and services to the public, retired, and private sector employees.",,20154,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
SoLongevity,https://www.crunchbase.com/organization/solongevity,Private,For Profit,"Health Care, Life Science, Nutraceutical, Wellness",1-10,"Milan, Lombardia, Italy","2,074,684",,"2,009,833",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Biotechnology, Health Care, Science and Engineering",,,,,,SoLongevity's mission is to preserve what the health organization has defined as a physiological reserve which is the individual capital longevity with which they are born and which constitutes the potential for health and well being for the years to come.,,customerservice@solongevity.com,https://www.linkedin.com/company/solongevity,https://www.solongevity.com,,,,,2019-01-01,year,Active,SoLongevity develops treatments and products validated through solid clinical studies.,$1M to $10M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Solomio,https://www.crunchbase.com/organization/solomio-afb7,Private,For Profit,"Artificial Intelligence (AI), Home Improvement, Intelligent Systems",1-10,"Milan, Lombardia, Italy","3,271,550",,"3,187,190",,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software",,,,,,Solomio is providing home automation services. The company provides technologies and solutions in the real estate sector. They also provide to transform properties into intelligent buildings and artificial intelligence.,+39 3477848954,info@solomio.cloud,https://www.linkedin.com/company/solomio-smart,https://www.solomio.cloud,,,,,2018-01-01,year,Active,Solomio is a home automation company.,$1M to $10M,20129,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Solo Belle Case,https://www.crunchbase.com/organization/solo-belle-case,Private,For Profit,"Property Management, Real Estate, Residential",11-50,"Milan, Lombardia, Italy","3,468,308",,"3,378,561",,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Estate,,,,,,,+39 02 8935 4838,info@solobellecase.it,https://www.linkedin.com/company/solo-belle-case/,https://www.solobellecase.it/,,,,,2018-01-15,day,Active,"Solo Belle Case is an online portal that features residential properties, villas, and luxury penthouses for sale in metropolitan areas.",Less than $1M,20123,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Softinvest,https://www.crunchbase.com/organization/softinvest,Private,,Angel Investment,1-10,"Milan, Lombardia, Italy","3,340,449",,"3,254,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Financial Services, Lending and Investments",,,,,,"SoftInvest is an investment firm that focuses on identifying, nurturing, and growing innovative startups and IT companies. The organization connects skilled professionals with promising startups, providing essential support and resources to facilitate their development. SoftInvest aims to create an environment where these companies can thrive and achieve their potential in the competitive market.",,,https://www.linkedin.com/company/softinvest,https://softinvest.org,,,,,2020-01-01,year,Active,SoftInvest is an investment firm that specializes in nurturing innovative startups and IT companies to help them grow.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Sofan,https://www.crunchbase.com/organization/sofan,Private,For Profit,"Apps, Media and Entertainment, Software",1-10,"Milan, Lombardia, Italy","477,135",,"449,632",,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apps, Media and Entertainment, Software",,,,,,"Sofan is a TV co-watching platform where people can share their living room and watch the matches of their favorite teams together. It works to cover some of the costs of the pay TV, they meets new friends, and enjoys the match with other fans, and it creates an international and fun atmosphere in his house. Through this app, fans can meet new friends and enjoy their favorite matches with other fans. Clients can contact them through emails and phone calls.",+39 351 556 0997,info@sofan.it,https://www.linkedin.com/company/sofanit,https://sofan.it,,,,,2018-01-01,year,Active,Sofan is a co-watching platform that allows sharing a living room to watch sports with other people.,,20125,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
SocioViz,https://www.crunchbase.com/organization/socioviz,Private,Non-profit,"Analytics, Digital Marketing, Information Technology, Non Profit",1-10,"Milan, Lombardia, Italy","3,230,028",,"3,146,626",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data and Analytics, Information Technology, Other, Sales and Marketing, Social Impact",,,,,,"SocioViz is a free tool for analyzing social networks on Twitter and Facebook. It is a social media analytics platform that uses measurements from social networks. The social media insights Identify conversation peaks, hashtags, words, and emoji most used, most active, and influential users. They analyze conversations to hear what people are saying about brands, competitors, and industry.",,hello@socioviz.net,https://www.linkedin.com/company/socioviz,https://socioviz.net,,,,,2019-01-01,year,Active,"SocioViz is a social media analytics platform that provides digital journalism, marketing, and social research services.",,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Società Italiana Coaching Aziendale,https://www.crunchbase.com/organization/società-italiana-coaching-aziendale,Private,For Profit,"Corporate Training, Management Consulting, Training",11-50,"Milan, Lombardia, Italy","1,467,200",,"1,411,720",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roberto Cajano,1.0,"Education, Professional Services",,,,,,,+39-02-36102136,info@sicoaching.it,https://www.linkedin.com/company/societ%C3%A0-italiana-coaching-aziendale/,https://societaitalianacoachingaziendale.it/,,,,,2020-01-01,year,Active,Società Italiana Coaching Aziendale is a management consulting firm that offers corporate training and coaching services in various fields.,$1M to $10M,20123,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
SOAPP,https://www.crunchbase.com/organization/soapp-7c32,Private,For Profit,"Apps, Delivery, Laundry and Dry-cleaning",1-10,"Turin, Piemonte, Italy","3,214,601",,"3,131,536",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Administrative Services, Apps, Clothing and Apparel, Software",,,,,,"SOAPP helps with laundry care. They offer washing, drying, ironing, folding, tiring and more options. Choose the place and time of collection: at home, in the office or on vacation, The return will take place.",,welcome@soappitaly.com,https://www.linkedin.com/company/soapp-official/,https://www.soappitaly.com,,,,,2020-01-01,year,Active,SOAPP is an app that provides laundry services.,,10143,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Sniper,https://www.crunchbase.com/organization/sniper-906e,Private,For Profit,"Advertising, Digital Marketing, Graphic Design, Lead Generation, SEO, Social Media Management",11-50,"Turin, Piemonte, Italy","1,581,904",,"1,524,509",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advertising, Design, Internet Services, Sales and Marketing",,,,,,,+39-011-1911-7021,info@snipergroup.it,https://www.linkedin.com/company/sniper-innovative-digital-company,https://sniperagency.it/,,,,,2018-01-01,year,Active,"Sniper is an advertising agency that offers graphic design, digital marketing, SEO, web development, and social media management services.",$10M to $50M,10123,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
SMARTYKEE,https://www.crunchbase.com/organization/smartykee,Private,For Profit,"Information Services, Information Technology, Security, Software",1-10,"Milan, Lombardia, Italy","2,363,597",,"2,294,539",,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Information Technology, Privacy and Security, Software",,,,,,,390240702033,hello@smartykee.com,https://www.linkedin.com/company/smartykee/,https://smartykee.com,,,,,2019-03-18,day,Active,SMARTYKEE specializes in providing digital keys for electronic locks.,Less than $1M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
SmartWEB360,https://www.crunchbase.com/organization/smartweb360,Private,For Profit,"E-Commerce, Information Technology, Software, Web3",1-10,"Milan, Lombardia, Italy","3,058,308",,"2,978,394",,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blockchain and Cryptocurrency, Commerce and Shopping, Information Technology, Internet Services, Software",,,,,,,,,https://www.linkedin.com/company/smartweb360,https://www.smartweb360.it,,,,,2020-01-01,year,Active,SmartWEB360 is a software solution designed and built to help Italian companies sell online.,,20019,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
SmartCity Corporation,https://www.crunchbase.com/organization/smartcity-corporation,Private,For Profit,"Consulting, Project Management, Training",1-10,"Bari, Puglia, Italy","2,868,888",,"2,792,345",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Administrative Services, Education, Other, Professional Services",,,,,,"SmartCity Corporation provides the following energy, urban planning, infrastructure, social structure, health, agriculture, industry, tourism, training, education, research, and development of new techniques and smart technologies in the above sectors using new digital technologies with the goal of accelerating the ecological and digital transition.",+39 068 635 7421,info@smartcitycorporation.it,https://www.linkedin.com/company/smartcity-corporation/,https://www.smartcitycorporation.it,,,,,2021-01-01,year,Active,SmartCity Corporation creates and designs smart cities.,,70127,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Slow Nature S.R.L.,https://www.crunchbase.com/organization/slow-nature-s-r-l,Private,For Profit,E-Commerce,1-10,"Milan, Lombardia, Italy","1,801,710",,"1,740,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commerce and Shopping,,,,,,"Slow Nature is European online retailer dedicated exclusively to high-quality, sustainable Fashion, Beauty and Living. We represent organic, environmentally sensitive and ethically manufactured brands.",,info@slownature.com,https://www.linkedin.com/company/slow-nature/,https://www.slownature.com,,,,,2019-01-01,day,Active,Slow Nature is a European online retailer dedicated exclusively to  Sustainable Fashion and Beauty.,,20124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Slatt Agency,https://www.crunchbase.com/organization/slatt-agency,Private,For Profit,Advertising,1-10,"Milan, Lombardia, Italy","3,005,825",,"2,926,847",,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moussa sall,1.0,"Advertising, Sales and Marketing",,,,,,"Specialized Social Media Agency in helping Brands and Entrepreneurs with different Marketing strategies implementing Results-oriented services with a mix of strategies. Mission: Connecting brands to the right people in a more human way. We will help you build a successful business by leveraging the power of social media. Creating a Higher Level of Value Experience. people before profit. Vision: Our goal is to become a leading agency in our sector. We try to come up with ideas that not only resonate, but resist. By creating unique brands and captivating experiences for the future. Values: Your Brand does not deserve to be ignored. Trust Innovation Consistency Services : Facebook ads Instagram ads Youtube ads Tiktok ads Google ads IG Growth Influencer Marketing Press Office (International) They talk about us: The american Reporter, Thrive (Anna huffington) American Daily Post… Our clients are present on: Forbes, Entrepreneur, Inc, Vogue, Cosmopolitan, Haute Living, Usa Today, Bloomberg, Huffpost, Tech Times, The Washington post, Ny times ....",3515913737,Business@Slattagency.com,https://www.linkedin.com/company/slattagency/,https://www.slattagency.com,,,,,2021-01-09,day,Active,Full Service Marketing Agency,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
SKÖN Cosmetics,https://www.crunchbase.com/organization/skön-cosmetics,Private,For Profit,"Beauty, Cosmetics, E-Commerce, Organic",11-50,"Turin, Piemonte, Italy","1,909,484",,"1,847,053",,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commerce and Shopping, Consumer Goods, Sustainability",,,,,,,,contact@skoncosmetics.com,https://www.linkedin.com/company/skoncosmetics,https://www.skoncosmetics.com,,,,,2020-01-01,year,Active,SKÖN Cosmetics is an e-commerce company that offers organic cosmetics products.,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Skin First Cosmetics,https://www.crunchbase.com/organization/skin-first,Private,For Profit,"Beauty, Cosmetics, E-Commerce",1-10,"Milan, Lombardia, Italy","675,974",,"639,791",,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maria Pia Priore,1.0,"Commerce and Shopping, Consumer Goods",,,,,,,,servizioclienti@skinfirst.it,https://www.linkedin.com/company/skin-first-cosmetics/,https://www.skinfirstcosmetics.it/,,,,,2019-01-01,year,Active,"Skin First Cosmetics is an online retailer of cosmetics, treatments, skin remedies, and beauty products.",$1M to $10M,20145,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Sisterly,https://www.crunchbase.com/organization/sisterly,Private,For Profit,"Fashion, Mobile Apps, Rental",1-10,"Brescia, Lombardia, Italy","843,032",,"801,327",,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beatrice Pedrali,1.0,"Apps, Clothing and Apparel, Commerce and Shopping, Design, Mobile, Software",,,,,,"Sisterly is a mobile application marketplace where users can rent luxury bags, accessories, sweatshirts, caps, and other items. The company can be reached via mail, phone, and mobile apps.",+39 333 988 0739,info@sisterly.it,https://www.linkedin.com/company/sisterly-srl/,https://sisterly.it,,,,,2022-01-01,month,Active,Sisterly is a marketplace for the rental of luxury bags between users.,,25125,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Sistaar,https://www.crunchbase.com/organization/sistaar,Private,For Profit,"Enterprise Software, Information and Communications Technology (ICT), Information Services, Information Technology, IT Management, Mobile Apps, Software, Software Engineering, Web Design, Web Development",11-50,"Turin, Piemonte, Italy","671,053",,"635,066",,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Simone Ferraro, Stefano Spagnolo",2.0,"Apps, Design, Information Technology, Mobile, Science and Engineering, Software",,,,,,"Software development, Product Information Management, Digital Asset Management, Customer Identity and Access Management, e-commerce, digital, website, mobile app, management, marketing, advisory",,Info@sistaar.com,https://it.linkedin.com/company/sistaar,https://www.sistaar.com,,,,,2023-03-09,day,Active,"Software development, pim, dam, ciam, e-commerce, digital, website, mobile app",,10143,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
SIRM,https://www.crunchbase.com/organization/sirm,Private,For Profit,"Information Technology, Navigation, Security, Telecommunications",101-250,"Naples, Campania, Italy","2,615,585",,"2,542,978",,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hardware, Information Technology, Navigation and Mapping, Privacy and Security",,,,,,,+39 0815377601,dc@sirmitalia.it,https://www.linkedin.com/company/sirm-italia-s-r-l/?viewAsMember=true,https://www.sirmitalia.it,,,,,2019-01-01,year,Active,"SIRM offers a support network for telecommunications, navigation, security and IT solutions for worldwide service GMDSS NAVCOM.",$1M to $10M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Sintesi Creativa,https://www.crunchbase.com/organization/sintesi-creativa,Private,For Profit,"Advertising, Consulting, Digital Marketing, Information Technology, Web Development",1-10,"Rome, Lazio, Italy","3,032,894",,"2,953,454",,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Advertising, Information Technology, Professional Services, Sales and Marketing, Software",,,,,,,+39 06 94834833,info@sintesicreativa.com,https://www.linkedin.com/company/sintesi-creativa/,https://www.sintesicreativa.com/,,,,,2018-01-01,year,Active,"Sintesi Creativa is an IT firm that provides IT support, networking solutions, digital marketing, web development, and consulting services.",Less than $1M,179,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Singep Srl,https://www.crunchbase.com/organization/singep-srl,Private,For Profit,,1-10,"Milan, Lombardia, Italy","3,539,248",,"3,447,281",,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39 0922 606203,protocollo@singep.it,https://www.linkedin.com/company/singep,https://www.singep.it,,,,,2021-01-01,year,Active,Singep Srl provide Services for Renewable Energy.,,20121,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Sinergy Pharma,https://www.crunchbase.com/organization/sinergy-pharma,Private,For Profit,"Manufacturing, Medical, Pharmaceutical",1-10,"Milan, Lombardia, Italy","3,764,980",,"3,665,452",,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Health Care, Manufacturing",,,,,,"Sinergy Pharma provides pharmaceutical products, nutritional supplements, medical devices, cosmetics, and food for medical purposes. They provide production processes from raw materials to the finished product and the phases of design, formulation, and registration of the product.",+39 02 52805424,info@sinergypharma.eu,https://www.linkedin.com/company/sinergy-pharma-s-r-l/,https://sinergypharma.eu,,,,,2019-01-01,year,Active,Sinergy Pharma is a pharmaceutical manufacturer.,,20121,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Simplify,https://www.crunchbase.com/organization/simplify-09b3,Private,For Profit,"Business Intelligence, Information Technology, Small and Medium Businesses",1-10,"Milan, Lombardia, Italy","2,551,554",,"2,479,890",,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data and Analytics, Information Technology, Other",,,,,,Simplify specializes in assisting SMEs through strategic and digital transformation. They create marketing plans with the goal of generating hundreds of leads who are interested in their products and services. They simplify the company's management by utilizing artificial intelligence technologies and a specialized adviser who will be by their side throughout their company's growth.,+39 340 9510 634,info@semplifai.it,https://www.linkedin.com/company/semplifai/,https://www.semplifai.it,,,,,2021-01-01,year,Active,Simplify specializes in accompanying SMEs on the path of strategic and digital transformation.,,20124,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Simple Bill,https://www.crunchbase.com/organization/simple-bill,Private,For Profit,"Apps, Information Technology, Software",1-10,"Milan, Lombardia, Italy","1,340,658",,"1,287,359",,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apps, Information Technology, Software",,,,,,"Simple Bill provides computer systems and computer programs used for the functioning of the site collect, during their normal operation, some personal data their transmission is implicit in the use of internet communication protocols. They provide consulting for electricity and gas rates.",,dpo@bollettasemplice.com,,https://www.bollettasemplice.com,,,,,2018-01-01,year,Active,Simple Bill is a consulting company that provides electricity and gas rates services.,Less than $1M,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
SIDNEO,https://www.crunchbase.com/organization/sidneo,Private,For Profit,"Artificial Intelligence (AI), Information Technology, Security, Software",1-10,"Brescia, Lombardia, Italy","3,216,695",,"3,133,595",,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software",,,,,,"SIDNEO provides aggregate information on direct debit report on aggregate direct debit data. Report on reports, measures, and resolutions. IT and DPO reporting. They aggregated direct debit information from MANAGER and DPO reports of technical and organisational nature. They offer machine learning and artificial intelligence.",+39 030 578 5824,info@sidneo.it,https://www.linkedin.com/company/sidneo-srl,https://sidneo.it,,,,,2021-01-01,year,Active,"SIDNEO provides digital technology, data, and information services for real assets.",,25128,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Sicurnova Consulting,https://www.crunchbase.com/organization/sicurnova-consulting,Private,For Profit,"Advice, Consulting, Training",1-10,"Milan, Lombardia, Italy","3,397,242",,"3,309,629",,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Education, Media and Entertainment, Professional Services",,,,,,,+39 02 49785242,sicurnova@sicurnova.eu,https://www.linkedin.com/company/sicurnova-consulting,https://www.sicurnova.eu,,,,,2020-01-01,year,Active,Supernova Consulting specializes in consulting and training for occupational health and safety for businesses.,,20137,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Sicurappy,https://www.crunchbase.com/organization/sicurappy,Private,For Profit,"Apps, Document Management, Software",1-10,"Milan, Lombardia, Italy","2,431,251",,"2,361,257",,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Andrea Galdabino,1.0,"Apps, Information Technology, Software",,,,,,"Sicurappy supports reasonable security procedures and practices, employers, condominium administrators, and supplier contractors in compliance with document verification. Document verification to legislative decree 81 and 08 to check and accredit suppliers and contractors and their operators.",+39 3282321739,servizioclienti@sicurappy.com,https://www.linkedin.com/company/sicurappy/,https://www.sicurappy.com,,,,,2020-01-01,year,Active,Sicurappy is a software application for document verification.,,20122,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
Si Network,https://www.crunchbase.com/organization/si-network,Private,For Profit,"Business Development, Consulting, Finance, Financial Services",11-50,"Bari, Puglia, Italy","2,384,283",,"2,314,924",,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Financial Services, Professional Services",,,,,,,+39 080 64 50 714,info@sinetwork.eu,https://www.linkedin.com/company/si-network,https://www.sinetwork.eu,,,,,2019-01-01,month,Active,"Si Network is a financial services company that offers tax planning, corporate finance, and auditing services.",Less than $1M,70126,"European Union (EU), Europe, Middle East, and Africa (EMEA)",
