Organization Name,Organization Name URL,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Employees,Monthly Visits,Headquarters Regions,Postal Code,Diversity Spotlight,Operating Status,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Contact Job Departments,Number of Contacts,Number of Private Contacts,Average Visits (6 months),Monthly Visits Growth,Estimated Revenue Range,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Number of Alumni,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
AirPower Group,https://www.crunchbase.com/organization/airpower-group,,https://www.airpowergroup.com/en/,"Industrial Manufacturing, Machinery Manufacturing, Manufacturing","Sassuolo, Emilia-Romagna, Italy",AirPower Group is a manufacturing company that operates in the ceramic sector including glazing lines and tile handling machines.,"2,768,178",1982-01-01,year,11-50,508,"European Union (EU), Europe, Middle East, and Africa (EMEA)",41049,,Active,2022-12-16,day,,,For Profit,,https://www.facebook.com/airpowergroup/,https://www.linkedin.com/company/air-power-group-spa/,info@airpowergroup.com,+39 52-299-9334,,,,,,,,,,,,,,,,Manufacturing,,,,M&A,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
airprotech,https://www.crunchbase.com/organization/airprotech,airprotech supplies air protection and environmental technologies for air pollution control.,https://www.airprotech.eu,"Industrial Manufacturing, Manufacturing, Wholesale","Magenta, Lombardia, Italy",airprotech supplies air protection and environmental technologies for air pollution control.,"833,165",1995-01-01,year,51-100,716,"European Union (EU), Europe, Middle East, and Africa (EMEA)",20013,,Active,2024-03-19,day,,,For Profit,https://twitter.com/airprotech_it,,https://www.linkedin.com/company/airprotech,info@airprotech.eu,+39 02 9790466,1,,,,,,,,,,,,,,,"Commerce and Shopping, Manufacturing",,,,M&A,,,,,,"Finance, Operations",2,,,,$10M to $50M,,,,,,,,,,,,,,,,,,,
Alberto Aspesi & CSpA,https://www.crunchbase.com/organization/alberto-aspesi-cspa,"Alberto Aspesi & CSpA, founded in 1969 by Alberto Aspesi, is one of the leading Italian operators in the informal clothing sector, which has always been famous for its iconic and innovative products. Since its foundation, Aspesi has been recognized in the fashion world as a brand synonymous with style, quality and innovation. The collections are designed and designed in-house, while the creation of finished products is entrusted to third parties in the productive districts of excellence in Italy and abroad.",http://www.aspesi.com/en/,"Fashion, Retail","Legnano, Lombardia, Italy",Alberto Aspesi & CSpA is an Italian operators in the informal clothing sector.,"662,189",1969-01-01,year,51-100,"103,437","European Union (EU), Europe, Middle East, and Africa (EMEA)",MI 20025,,Active,2016-12-23,day,,,For Profit,,https://www.facebook.com/AspesiOfficial,,,+39 02 94756439,,,,,,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Design",1,Alberto Aspesi,1,M&A,2017-05-01,,,,Private Equity,Management,2,,"66,707.67",102.52%,,,,,,,,,,,Private Equity,,,,,,,Armònia SGR,,1
Alcapem,https://www.crunchbase.com/organization/alcapem,"Alcapem is a manufacturing company that designs and develops subassemblies for locomotives, switchboards, and cabinets.",http://www.alcapem.com,"Manufacturing, Product Design, Railroad","Rho, Lombardia, Italy","Alcapem is a manufacturing company that designs and develops subassemblies for locomotives, switchboards, and cabinets.","1,788,214",1992-01-01,year,11-50,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",20017,,Active,2024-02-19,day,,,For Profit,,,https://www.linkedin.com/company/alcapem-s-r-l/,postmaster@alcapem.com,+39 02.93907607,,,,,,,,,,,,,,,,"Design, Manufacturing, Transportation",,,,M&A,,,,,,,,,,,$1M to $10M,,,,,,,,,,,,,,,,,,,
Alea S.r.l.,https://www.crunchbase.com/organization/alea-s-r-l,"Alea is a software house and works with skill and preparation in the development of software for Mac and Windows, iOS and Android smartphone applications, and management web portals.",https://www.aleagames.com/,"iOS, Software, Windows","Pordenone, Friuli-Venezia Giulia, Italy","Alea is a software house and works with skill and preparation in the development of software for Mac and Windows, iOS.","1,052,525",1995-01-01,year,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Closed,2021-06-08,day,,none,For Profit,https://twitter.com/aleasrl,,https://www.linkedin.com/company/alea-s-r-l-/,info@aleagames.com,0434-1776050,,,,,,,,,,,,,,,,"Mobile, Platforms, Software",,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfa Elettronica,https://www.crunchbase.com/organization/alfa-elettronica,"Alfa Elettronica Srl involves in industrial automation business in Italy. It plans, produces, and installs industrial electronic systems. ",http://www.alfaelettronica.it/,"Electronics, Industrial Automation, Manufacturing","Siena, Toscana, Italy","Alfa Elettronica involves in industrial automation business in Italy. It plans, produces, and installs industrial electronic systems.","2,052,367",1983-01-01,year,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2009-03-12,day,,,For Profit,,,,,+39 05 77 92 26 85,,,,,,,,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering",,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfa Valvole,https://www.crunchbase.com/organization/alfa-valvole,"Alfa Valvole designs, manufactures, and sells specialty valve products in the petrochemical sector. It also manufactures ball valves in different materials from carbon steel to stainless steel, up to special alloys. The company's team operates in a plant with an area of ​​20,000 square meters with the help of machinery, production lines, and latest-generation equipment. The company specializes in the production of ball valves, for the control of any fluid. Alfa Valvole was founded in 1971 and is headquartered in Casorezzo, Milan, Italy.",https://www.alfavalvole.com,"Industrial, Machinery Manufacturing, Manufacturing, Precious Metals, Product Design","Casorezzo, Lombardia, Italy","Alfa Valvole designs, manufactures, and sells specialty valve products for the petrochemical industry.","858,865",1971-01-01,year,51-100,745,"European Union (EU), Europe, Middle East, and Africa (EMEA)",20010,,Active,2024-06-03,day,,,For Profit,,https://www.facebook.com/Alfa-Valvole-srl-405327369480512/,https://www.linkedin.com/company/alfavalvole/,alfavalvole.info@idexcorp.com,+390290296206,,,,,,,,,,,,,,,,"Design, Manufacturing, Natural Resources",,,,M&A,,,,,,,,,,-29.48%,,,,,,,,,,,,,,,,,,,,
Alfamation SpA,https://www.crunchbase.com/organization/alfamation-spa,Alfamation SpA is a technology hardware & Equipmet company.,http://alfamationglobal.com,"Communication Hardware, Hardware, Information Technology","Monza, Lombardia, Italy",Alfamation SpA is a technology hardware & Equipmet company.,"1,606,810",1991-01-01,day,51-100,306,"European Union (EU), Europe, Middle East, and Africa (EMEA)",20851,,Active,2024-03-12,day,,,For Profit,https://twitter.com/Alfamation,https://www.facebook.com/Alfamation-134589966588593/,https://www.linkedin.com/company/alfamation,,1847-592-7045,1,,,,,,,,,,,,,,,"Hardware, Information Technology",,,,M&A,,,,,,,1,,,4323.75%,,,,,,,,,,,,,,,,,,,,
Alfatherm S.p.A.,https://www.crunchbase.com/organization/alfatherm-s-p-a,"Alfatherm S.p.A. (“Alfatherm”), a manufacturer of rigid, semi-rigid and flexible PVC films. Alfatherm was established more than 50 years ago and is the fourth largest European PVC film manufacturer, focused on the production and sale of rigid, semi-rigid and flexible PVC foils that are used for various applications. The business operates three manufacturing sites in the Milan area and has long-term customer relations that reach across 60 countries",http://www.alfatherm.it/,"Manufacturing, Plastics and Rubber Manufacturing","Venegono Superiore, Lombardia, Italy","Alfatherm is a manufacturer of rigid, semi-rigid and flexible PVC films.","682,724",1963-01-01,year,51-100,258,"European Union (EU), Europe, Middle East, and Africa (EMEA)",21040,,Active,2016-06-20,day,,,For Profit,,,https://www.linkedin.com/company/alfatherm-spa,,39 03 31 85 43 11,,,,,,,,,,,,,,,,Manufacturing,,,1,M&A,2004-01-01,,,,Private Equity,,1,,,-9.68%,,,,,,,,,,,Private Equity,,,,,,,PM & Partners,,1
alfemminile,https://www.crunchbase.com/organization/alfemminile,"alfemminile.com website, is a particularly popular and participated Forum and a series of social profiles that gather the largest Italian audience in this segment, with over 2 million followers.",https://www.alfemminile.com/,"Online Portals, Social Media","Milano, Lombardia, Italy","alfemminile.com website, is a particularly popular and participated Forum and a series of social profiles.","1,016,595",2000-01-01,year,11-50,"4,887,502","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2021-02-12,day,,,For Profit,,,https://www.linkedin.com/company/alfemminile-com/about/,,,,,,,,,,,,,,,,,,"Internet Services, Media and Entertainment",,,,M&A,,,,,,,,,"5,101,674.33",-8.62%,,,,,,,,,,,,,,,,,,,,
Alfrus,https://www.crunchbase.com/organization/alfrus,,https://www.alfrus.it/en/,"Farming, Food Processing, Manufacturing","Modugno, Puglia, Italy",Alfrus is a company that produces and supplies almonds.,"798,169",1995-01-01,year,11-50,1,"European Union (EU), Europe, Middle East, and Africa (EMEA)",70026,,Active,2022-01-05,day,,,For Profit,,,https://www.linkedin.com/company/alfrus-srl/,qualita@alfrus.it,+39 080 5308411,,,,,,,,,,,,,,,,"Agriculture and Farming, Food and Beverage, Manufacturing",,,,M&A,,,,,,,,,,-99.91%,,,,,,,,,,,,,,,,,,,,
Algo S.p.A,https://www.crunchbase.com/organization/algo-s-p-a,"Algo S.p.A manufactures and distributes components for the automotive sector, which includes electric window winders. ",http://www.algo.it/,"Automotive, Manufacturing","Altavilla, Abruzzi, Italy","Algo S.p.A manufactures and distributes components for the automotive sector, which includes electric window winders. ","943,945",1978-01-01,year,,9,"European Union (EU), Europe, Middle East, and Africa (EMEA)",22031,,Active,2010-12-01,day,,,For Profit,,,https://www.linkedin.com/company/algo-group,,+39 031 335321,,,,,,,,,,,,,,,,"Manufacturing, Transportation",,,,M&A,,,,,,,,,,3254.02%,,,,,,,,,,,,,,,,,,,,
Algorfin,https://www.crunchbase.com/organization/algorfin,"Algorfin is specialised in IT and administrative outsourcing services for Asset Management Companies, Custodian Banks and other financial operators, through the Archimede, Diogene and Archimede Governance software platforms.",,"Financial Services, Information Technology","Milano, Lombardia, Italy",Algorfin is specialised in IT and administrative outsourcing services for Asset Management Companies and Custodian Banks.,"3,263,102",,,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2019-01-19,day,,,For Profit,,,,,,,,,,,,,,,,,,,,,"Financial Services, Information Technology",,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AliasLab,https://www.crunchbase.com/organization/aliaslab,"Founded with the aim of becoming a reference point in the IT industry, since 1984 AliasLab is the unquestioned leader in the creation and development of highly innovative software solutions. Their areas of excellence in recent years, targeting both the domestic and export markets, have focused in particular on computer security, electronic signature and mobile payments.",http://eng.aliaslab.net/,"Information Services, Information Technology, Mobile, Software","Mantova, Lombardia, Italy","AliasLab is flexibility, innovation, reliability and experience.","2,051,162",1984-01-01,year,11-50,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",46100,,Closed,2016-12-22,day,,none,For Profit,,https://www.facebook.com/AliasLab,,,+39 049 2108800,,,,,,,,,,,,,,,,"Information Technology, Mobile, Software",,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlisCargo Airlines,https://www.crunchbase.com/organization/aliscargo-airlines,"AlisCargo Airlines provides services to airlines, governments, enterprises, brokers, and shippers.",http://www.aliscargo.com,"Shipping, Transportation","Vizzola Ticino, Piemonte, Italy","AlisCargo Airlines provides services to airlines, governments, enterprises, brokers, and shippers.","1,770,890",2020-01-01,year,51-100,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",21010,,Active,2023-08-03,day,,,For Profit,,,https://www.linkedin.com/company/aliscargo-airlines-s-p-a,,,,,,,,,,,,,,,,,,Transportation,,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisped,https://www.crunchbase.com/organization/alisped,"Alisped offers increasingly fast, reliable, and customized quality services.",https://alisped.it/,"Freight Service, Logistics, Transportation","Gaglianico, Piemonte, Italy","Alisped offers increasingly fast, reliable, and customized quality services.","710,775",1968-01-01,year,51-100,675,"European Union (EU), Europe, Middle East, and Africa (EMEA)",13894,,Active,2023-07-06,day,,,For Profit,https://www.twitter.com/alispeduk,https://www.facebook.com/AlispedOfficialIT,https://www.linkedin.com/company/alisped/,alisped@alisped.it,+39 0574 6391,1,,,,,,,,,,,,,,,Transportation,,,,M&A,,,,,,"Engineering, Management, Operations, Sales, Support",24,,,440.49%,$10M to $50M,,,,,,,,,,,,,,,,,,,
All Consulting Service,https://www.crunchbase.com/organization/all-consulting-service,"All Consulting & Engineering is a company that works with the handling of difficult and frequent claims in the Property and Casualty branches, risk engineering activities, and training.",https://www.gruppoallconsulting.com/en/allconsulting-service-en/,"Consulting, Service Industry","Torino, Piemonte, Italy",All Consulting Service is a business consulting and services company.,"2,437,092",2002-01-01,year,51-100,"1,674","European Union (EU), Europe, Middle East, and Africa (EMEA)",10149,,Active,2022-11-17,day,,,For Profit,https://twitter.com/AllConsultingG1,https://www.facebook.com/AllConsultingG1/,https://www.linkedin.com/company/allconsultingroup/,nfo@allconsulting.org,39 011 74 11 500,,,,,,,,,,,,,,,,"Other, Professional Services",,,,M&A,,,,,,,,,,-50.63%,,,,,,,,,,,,,,,,,,,,
Allegri Cesare,https://www.crunchbase.com/organization/allegri-cesare,,https://www.allegricesare.com/,"Automotive, Manufacturing, Marketing Automation, Service Industry","Sesto San Giovanni, Lombardia, Italy","Allegri Cesare are into production and marketing of flexible hoses and assembled fittings for motorcycle, chemical and industrial.","2,484,245",1951-01-01,year,11-50,64,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2021-11-09,day,,,For Profit,,https://www.facebook.com/allegricesarespa/,https://www.linkedin.com/company/allegri-cesare-s.p.a./,info.comm@allegricesare.com,+39 02 244 0203,,,,,,,,,,,,,,,,"Manufacturing, Other, Sales and Marketing, Software, Transportation",,,,M&A,,,,,,,,,,-94.33%,,,,,,,,,,,,,,,,,,,,
AllianceInsay,https://www.crunchbase.com/organization/allianceinsay,"AllianceInsay provides business line, legal protection, credit, and deposit insurance services. Automotive insurance services include motor civil liability, RCA fleets, theft and fire, guarantee asset protection, extended warranty, road assistance, driver accidents, vintage and historic cars, ferraris, and limited edition cars. Personal line insurance service includes individual injuries, group injuries, sports risks, and life in case of death.",https://www.allianceinsay.it,"Automotive, Financial Services, Insurance","Roma, Lazio, Italy","AllianceInsay is a insurance and technology broker that offers automotive, personal, and property line insurance.","2,808,957",2014-01-01,year,11-50,188,"European Union (EU), Europe, Middle East, and Africa (EMEA)",161,,Active,2022-12-22,day,,,For Profit,,https://www.facebook.com/AllianceInsaySpA,https://www.linkedin.com/company/allianceinsay,info@allianceinsay.it,+39 06 83514584,,,,,,,,,,,,,,,,"Financial Services, Transportation",,,,M&A,,,,,,,,,,,$1M to $10M,,,,,,,,,,,,,,,,,,,
ALLIBO,https://www.crunchbase.com/organization/allibo,,https://www.allibo.com,"Information Technology, Service Industry, Software","Milano, Lombardia, Italy",ALLIBO specialized in the development of vertical software for the business organization and human resources departments.,"611,035",2010-01-01,year,1-10,"800,033","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2024-08-13,day,,,For Profit,https://twitter.com/AlliboHR,,https://www.linkedin.com/company/alliance-software-srl,dpo@allibo.com,39.02.86882702,,,,,,,,,,,,,,,,"Information Technology, Other, Software",,,,M&A,,,,,,,,,"762,499.83",17.94%,,,,,,,,,,,,,,,,,,,,
Allinsports,https://www.crunchbase.com/organization/allinsports,Allinsports manufactures the high-end racing simulator systems used by race teams globally.,https://www.allinsports.it/,"Automotive, Manufacturing","Formigine, Emilia-Romagna, Italy",Allinsports manufactures the high-end racing simulator systems used by race teams globally.,"2,189,449",2008-01-01,year,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Closed,2020-09-28,day,2020-09-28,day,For Profit,https://twitter.com/allinsports_srl?lang=en,,https://www.linkedin.com/company/allinsports,,,1,,,,,,,,,,,,,,,"Manufacturing, Transportation",,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllSystem,https://www.crunchbase.com/organization/allsystem,"Allsystem S.p.A. manufactures and markets security and surveillance systems. The Company provides detective, guard, and special protection services to public bodies, companies, bank, and individuals. Allsystem operates in Italy.",http://www.allsystemgroup.it/,"Manufacturing, Security","Verrone, Piemonte, Italy",AllSystem manufactures and markets security and surveillance systems.,"685,993",1988-01-01,year,1001-5000,"6,182","European Union (EU), Europe, Middle East, and Africa (EMEA)",BI 13871,,Active,2006-12-31,day,,,For Profit,,,https://www.linkedin.com/company/allsystem-spa,,+390152558383,,,,,,,,,,,,,,,,"Manufacturing, Privacy and Security",1,Gary Venable Sr,1,M&A,2012-01-13,18000000,EUR,22854589,Private Equity,,,,,-97.67%,,,,,,,,18000000,EUR,22854589,Private Equity,18000000,EUR,22854589,18000000,EUR,22854589,Soros Private Equity Partners,1,1
Almax,https://www.crunchbase.com/organization/almax,"Almax an international leader in the design and production of men, women and children mannequins, bust forms and display articles.  A global partner that is able to provide its clients with great efficiency in terms of logistics and sales support. Almax has factories and showrooms in Italy and China. In addition, there are showrooms, sales units, warehouses and painting lines in France, USA, Canada, Mexico and Brazil.",http://www.almax-italy.com,"Commercial, Fashion, Textiles","Mariano Comense, Lombardia, Italy","Almax is offers the design and production of men, women and children mannequins, bust forms and display articles.","2,353,965",1969-01-01,year,101-250,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",22066,,Closed,2016-11-08,day,,none,For Profit,https://twitter.com/almaxeis,,https://www.linkedin.com/company/almax-s-p-a-/,contact@popmilano.com,+34 934 876 164,,,,,,,,,,,,,,,,"Clothing and Apparel, Design, Manufacturing, Other",,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha Test,https://www.crunchbase.com/organization/alpha-test,"Alpha Test provides books and courses for university admission tests.  The passage between students and their satisfaction has made Alpha Test a precious and qualified point of reference for passing the entrance exams. If not enough, Alpha Test is the first and most important Italian company specializing in admission testing, with unparalleled experience: 2500 courses and over 3 million books sold. And of course the results. The most important part. These are evidence of how Alpha Test is the most effective choice to reach the goal: getting into college. The Alpha Test results are the only certified companies of primary importance.",https://www.alphatest.it/,"Books, EBooks","Milan, Lombardia, Italy",Alpha Test provides books and courses for university admission tests.,"500,807",1987-01-01,year,51-100,"214,436","European Union (EU), Europe, Middle East, and Africa (EMEA)",20122,,Active,2020-07-31,day,,,For Profit,https://twitter.com/alpha_test,https://www.facebook.com/AlphaTestOfficial/,https://in.linkedin.com/company/alpha-test,,02 5845981,,,,,,,,,,,,,,,,"Content and Publishing, Media and Entertainment",2,"Alberto Sironi, Massimiliano Bianchini",1,M&A,2013-07-26,,,,Private Equity,"Engineering, Operations, Product, Sales",5,,"130,366.17",50.94%,,,,,,,,,,,Private Equity,,,,,,,Alcedo,1,1
Alpitour,https://www.crunchbase.com/organization/alpitour," Alpitour World is an Italian travel group and high-ranking in the European Travel Industry. Alpitour Group: a world of specializations and services to perfectly organize every aspect of the journey, whether it is pure relaxation or for work. In the Alpitour Group, many holiday styles coexist. From low budget proposals for young people and families, to informal ones with the villages and destinations most loved by Italian tourists, to elitist and exotic suggestions for the admirers of the pleasure of traveling.",https://www.alpitourworld.com,"Leisure, Tourism, Travel","Turin, Piemonte, Italy",Alpitour World is an Italian travel group and high-ranking in the European Travel Industry.,"53,402",1947-01-01,year,1001-5000,"11,683","European Union (EU), Europe, Middle East, and Africa (EMEA)",10126,,Active,2012-04-23,day,,,For Profit,https://www.twitter.com/alpitourworld,https://www.facebook.com/Alpitour,https://www.linkedin.com/company/alpitourworld,,39 01 10 17 11 11,,,,,,,,,,,,,,,,"Community and Lifestyle, Travel and Tourism",1,Lorenzo Isoardi,2,M&A,2024-11-12,20000000,EUR,21233271,Debt Financing,,1,,,-17.31%,$1M to $10M,,,,,,,,,,Private Equity,,,,20000000,EUR,21233271,Tamburi Investment Partners,1,1
Altamarea Hotels & Resorts,https://www.crunchbase.com/organization/altamarea-hotels-resorts,"Altamarea Hotels & Resorts is owns and operates a chain of hotels and resorts. The company’s amenities include rooms, handicapped rooms/facilities, bar and restaurant options, pool areas, shopping facilities, open-air theatres, conference facilities, sports facilities, spa and fitness areas, boutiques, and other entertainment options.",,"Hotel, Resorts, Restaurants","Turin, Piemonte, Italy",Altamarea Hotels & Resorts is owns and operates a chain of hotels and resorts.,"1,728,828",1996-01-01,year,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",10126,,Active,2003-02-01,day,,,For Profit,,,,,+39 0639 80 66 00,,,,,,,,,,,,,,,,"Food and Beverage, Travel and Tourism",,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altanova,https://www.crunchbase.com/organization/altanova-b33a,,https://www.altanova-group.com/en,,"Taino, Lombardia, Italy","Altanova offers diagnostic and monitoring equipment in the field of power generation, transmission networks and process industries.","2,123,540",2017-04-01,month,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",22 21020,,Active,2021-05-21,day,,,For Profit,,https://www.facebook.com/altanovagroup/,https://www.linkedin.com/company/altanova-group/,,,,,,,,,,,,,,,,,,,,,,M&A,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
ALTEA SRL,https://www.crunchbase.com/organization/altea-srl,"Altea power monitoring solutions is a young, innovative, privately owned company, focused on the development of innovative sensors for the measurement of voltage and current in Low, medium and high voltage power grids. Altea´s headquarters are based in the Netherlands with a production / R&D facility in Italy, a sales & marketing office in the USA , which covers the North American markets and a sales & marketing office in the UAE covering Asia. Altea started operations in 2009 with the design and testing of its first innovative capacitive sensor for indoor, air insulated applications. After the successful placement of this new sensor across Italy, a new family of combined , voltage and current sensors have been developed to customers´needs for indoor, outdoor and gas insulated sub stations. To date Altea´s sensors have been successfully deployed in many different countries across the world couples with a 9001 ISO certification. Throughout our seven years of operations Altea has brought together seasoned executives in new business development and engineers with broad experiences, all with the common goal of the search and development of new and innovative cutting edge technology. We strive to design, develop and deploy innovative Voltage and current sensors which are or will become indispensable tools for real time management and diagnosis of Energy Distribution delivered using both overhead and underground lines.",http://www.alteasolutions.com/,"Power Grid, Sensor","Ferrara, Emilia-Romagna, Italy","Development of innovative sensors for the measurement of voltage and current in Low, medium and high voltage power grids.","2,138,171",2009-01-01,year,1-10,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",44124,,Closed,2019-08-08,day,2019-08-08,day,For Profit,,,https://www.linkedin.com/company/altea-bv-power-monitoring-solutions,info@alteasolutions.com,+390532225731,,,,,,,,,,,,,,,,"Energy, Hardware",,,,M&A,,,,,,,,,,,Less than $1M,,,,,,,,,,,,,,,,,,,
Alter Power Systems,https://www.crunchbase.com/organization/alter-power-systems,"Alter Power Systems develops advanced microwave power generators, components and systems for industrial microwave heating.",http://www.altersystem.com/,"Energy, Manufacturing","Reggio Nell Emilia, Emilia-Romagna, Italy","Alter Power Systems develops advanced microwave power generators, components and systems for industrial microwave heating.","3,474,330",1986-01-01,year,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",42100,,Closed,2013-03-12,day,2013-03-12,day,For Profit,https://www.twitter.com/mksinstruments,https://www.facebook.com/mks-instruments,,,+390522553820,,,,,,,,,,,,,,,,"Energy, Manufacturing",,,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Althea Group,https://www.crunchbase.com/organization/althea-group,"Althea Group is a healthcare service company, provides multi-vendor medical equipment turnkey solutions worldwide.",http://www.althea-group.com/,Health Care,"Milano, Lombardia, Italy","Althea Group is a healthcare service company, provides multi-vendor medical equipment turnkey solutions worldwide.","244,112",2014-01-01,year,251-500,"7,122","European Union (EU), Europe, Middle East, and Africa (EMEA)",20090,,Active,2022-05-11,day,,,For Profit,,,https://www.linkedin.com/company/althea-group/,info@althea-group.com,+39 02 976791,2,,,,,,,,,,,,,,,Health Care,1,Alessandro Dogliani,,M&A,,,,,,"Engineering, Finance, Human Resources, Management, Marketing, Medical & Science, Operations, Product, Sales, Support",427,,,52.50%,,,,,,,,,,,,,,,,,,,,
AM General Contractor,https://www.crunchbase.com/organization/am-general-contractor,"AM General Contractor is a manufacturer of safety systems, mainly for transit rail cars. AM General Contractor also provides aftermarket services and components for both rail and industrial markets.",http://www.amgc.biz,"Industrial, Manufacturing","Genova, Liguria, Italy","AM General Contractor is a manufacturer of safety systems, mainly for transit rail cars.","2,834,561",1996-01-01,year,,,"European Union (EU), Europe, Middle East, and Africa (EMEA)",16149,,Closed,2017-10-02,day,,none,For Profit,https://twitter.com/AMGC_Italia,https://www.facebook.com/AMGeneralContractor,https://www.linkedin.com/company/5136026/,info@amgc.it,(390)106-0751,,,,,,,,,,,,,,,,Manufacturing,,,,M&A,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
AMB SpA,https://www.crunchbase.com/organization/amb-spa,"AMB SpA is an international provider of rigid and flexible films for the food and food packaging industry. AMB provides is customers with a complete end-to-end solution including design, prototyping, tooling, and manufacturing of rigid, flexible, printed & laminated films.",https://www.ambpackaging.com/,"Food and Beverage, Printing","San Daniele Del Friuli, Friuli-Venezia Giulia, Italy",AMB SpA is an international provider of rigid and flexible films for the food and food packaging industry.,"616,676",1969-01-01,year,251-500,303,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Active,2021-02-05,day,,,For Profit,,,https://www.linkedin.com/company/amb-srl,,,,,,,,,,,,,,,,,,"Content and Publishing, Food and Beverage, Media and Entertainment",,,,M&A,,,,,,,2,,,-72.91%,$10M to $50M,,,,,,,,,,,,,,,,,,,
Ambito5,https://www.crunchbase.com/organization/ambito5,"Ambito5 works with some of the world's top brands - such as Costa Cruises, Barilla, DirectLine, L'Oréal, Decathlon, Metzeler and Swatch - helping them create highly effective social communications.",http://www.ambito5.com/,"Advertising, Creative Agency, Digital Marketing, E-Commerce","Milan, Lombardia, Italy",Ambito5 develop and activate social experiences - online and offline that help grow business and brands.,"1,721,506",2003-01-01,year,11-50,67,"European Union (EU), Europe, Middle East, and Africa (EMEA)",20123,,Active,2014-09-30,day,,,For Profit,https://twitter.com/ambito5,https://www.facebook.com/Ambito5/,https://www.linkedin.com/company-beta/87536/,,+390236556770,,,,,,,,,,,,,,,,"Advertising, Commerce and Shopping, Content and Publishing, Media and Entertainment, Sales and Marketing",1,Giuseppe Mayer,,M&A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
