,Ragione sociale,BvD ID number,Codice fiscale,Numero CCIAA,Partita IVA,Indirizzo sede legale,Provincia,Indirizzo sede legale - Codice postale,Indirizzo sede legale - Regione,Sede operativa,Sede operativa - Provincia,Sede operativa - Codice postale,Sede operativa - Regione - Regione,"ATECO 2007
codice",Anno di costituzione,Fondazione,Stato giuridico,Forma giuridica
1510.,PIANETA SRL,IT03974111209,03974111209,BO0559798,03974111209,"VIA LARGA, 10",Bologna,40138,Emilia-Romagna,,,,,471110,16/09/2021,,Attiva,S.R.L.
1511.,LAM.PAL S.R.L.,IT11356080967,11356080967,MI2596939,11356080967,"VIA MAURO MACCHI, 8",Milano,20124,Lombardia,,,,,467210,28/07/2020,,Attiva,S.R.L.
1512.,IOVEM S.R.L.,IT08509960723,08509960723,BA0631487,08509960723,"VIA NOICATTARO, 2",Bari,70010,Puglia,,,,,471110,24/12/2020,,Attiva,S.R.L.
1513.,CMC S.R.L.,IT04291160986,04291160986,BS0603239,04291160986,"VIA GIUSEPPE DI VITTORIO, 23",Brescia,25125,Lombardia,VIA GIUSEPPE DI VITTORIO 23,Brescia,25125,LOMBARDIA,251100,04/06/2021,,Attiva,S.R.L.
1514.,IS GROUP S.P.A.,IT04715680239,04715680239,VR0443159,04715680239,"VIA ANFITEATRO, 10",Verona,37121,Veneto,VIA ANFITEATRO 10,Verona,37121,VENETO,412000,19/05/2020,,Attiva,S.P.A.
1515.,DATA MANAGEMENT S.R.L.,IT15035211000,15035211000,RM1564342,15035211000,"VLE AVIGNONE, 8/10// /12",Roma,00144,Lazio,VIA VIGNONE 8/10/12,Roma,00123,LAZIO,620100,18/12/2018,,Attiva,S.R.L.
1516.,PARTENOPE DISTRIBUZIONE S.R.L.,IT09281311218,09281311218,NA1021235,09281311218,"VIA DE SIERVO, 22",Napoli,80035,Campania,,,,,522922,04/07/2019,,Attiva,S.R.L.
1517.,MIRITE SRL,IT02849160425,02849160425,AN0262888,02849160425,"VIA FRANCO SCATAGLINI, 6",Ancona,60131,Marche,,,,,471110,07/02/2020,,Attiva,S.R.L.
1518.,BALENCIAGA ONLINE ITALIA S.R.L.,IT06961370480,06961370480,FI0669244,06961370480,"VIA PANTIN, 1",Firenze,50018,Toscana,VIA PANTIN 1,Firenze,50018,TOSCANA,464210,30/09/2019,,Attiva,S.R.L.
1519.,SAN GIORGIO RETAIL S.R.L.,IT03032170841,03032170841,AG0222500,03032170841,"VIA CAMPOBELLO, 159",Agrigento,92027,Sicilia,,,,,471120,30/11/2021,,Attiva,S.R.L.
1520.,EURMODA S.P.A.,IT05038390265,05038390265,TV0420771,05038390265," INDUSTRIALE, 114",Treviso,31040,Veneto,ZONA INDUSTRIALE 114,Treviso,31040,VENETO,256100,18/09/2019,,Attiva,S.P.A.
1521.,WORK ON TIME SPA,IT02939590309,02939590309,UD0299695,02939590309,"VIA VITTORIO VENETO, 43",Udine,33100,Friuli-Venezia Giulia,VIA VITTORIO VENETO 43,Udine,33100,FRIULI-VENEZIA,782000,17/09/2018,,Attiva,S.P.A.
1522.,DEDA TECH SRL,IT11333750963,11333750963,MI2595264,11333750963,"VLE FULVIO TESTI, 280/6",Milano,20126,Lombardia,VIA DI SPINI 50,Trento,38121,TRENTINO-ALTO,620100,07/07/2020,,Attiva,S.R.L.
1523.,GILBARCO ITALIA S.R.L.,IT06839990485,06839990485,FI0660143,06839990485,"VIA DE' CATTANI, 220/G",Firenze,50145,Toscana,VIA DEI CATTANI 220/G,Firenze,50145,TOSCANA,332003,08/06/2018,,Attiva,S.R.L.
1524.,SAN BENEDETTO - MERANO - S.C.A.R.L.,IT03093910218,03093910218,BZ0231565,03093910218,"VIA DELLA RENA, 26",Bolzano/Bozen,39100,Trentino-Alto Adige/Südtirol,,,,,421300,08/10/2020,,Attiva,Società consortile a responsabilita' limitata
1525.,ETICA LAVORO S.R.L.,IT14977271007,14977271007,RM1559493,14977271007,"VIA MICHELE MERCATI, 38",Roma,00197,Lazio,VIA MICHELE MERCATI 38,Roma,00197,LAZIO,782000,26/10/2018,,Attiva,S.R.L.
1526.,FELIRENT S.R.L.,IT10271400961,10271400961,MI2518682,10271400961,"VLE LUIGI MAJNO, 7",Milano,20122,Lombardia,VIALE LUIGI MAJNO 7,Milano,20122,LOMBARDIA,771100,09/03/2018,,Attiva,S.R.L.
1527.,INNOVA HOUSING CENTODIECI SOCIETA' CONSORTILE A RESPONSABILITA' L IMITATA,IT03993041205,03993041205,BO0561388,03993041205,"VIA GIOVANNI PAPINI, 18",Bologna,40128,Emilia-Romagna,,,,,811000,21/12/2021,,Attiva,Società consortile a responsabilita' limitata
1528.,PRIMA S.R.L.,IT05050080265,05050080265,TV0421791,05050080265,"VIA ERMENEGILDO MINATO, 24",Treviso,31039,Veneto,VIA ERMENEGILDO MINATO 24,Treviso,31039,VENETO,141310,27/11/2019,,Attiva,S.R.L.
1529.,KYNDRYL ITALIA INNOVATION SERVICES S.R.L.,IT11668120964,11668120964,MI2617861,11668120964,CRV IDROSCALO,Milano,20054,Lombardia,,,,,620909,16/03/2021,,Attiva,S.R.L.
1530.,HOUSE SOLUTION SOLAR SRL,IT05116960757,05116960757,LE0343158,05116960757,"VIA DELLE RIMEMBRANZE, 12",Lecce,73037,Puglia,,,,,432101,06/11/2020,,Attiva,S.R.L.
1531.,CONSORZIO TRIDENTUM,IT17080411006,17080411006,RM1694452,17080411006,"VIA GIULIO VINCENZO BONA, 65",Roma,00156,Lazio,,,,,421200,02/03/2023,,Attiva,Consorzio
1532.,SPECIAL GARDANT S.P.A.,IT15759561002,15759561002,RM1612099,15759561002,"VIA CURTATONE, 3",Roma,00185,Lazio,VIA CURTATONE 3,Roma,00185,LAZIO,829110,24/06/2020,,Attiva,S.P.A.
1533.,TERNA ENERGY SOLUTIONS S.R.L.,IT14891001001,14891001001,RM1553541,14891001001,"VLE EGIDIO GALBANI, 70",Roma,00156,Lazio,VIALE EGIDIO GALBANI 70,Roma,00156,LAZIO,711220,01/08/2018,,Attiva,S.R.L.
1534.,CRONOS VITA ASSICURAZIONI S.P.A,IT13088520963,13088520963,MI2702682,13088520963,"VIA FR+ RICCARDO PAMPURI, 13",Milano,20141,Lombardia,,,,,651100,03/08/2023,,Attiva,S.P.A.
1535.,POWERBUS SRL,IT04590990273,04590990273,VE0430859,04590990273,"VIA DELLA FISICA, 27",Venezia,30175,Veneto,,,,,451901,24/01/2020,,Attiva,S.R.L.
1536.,S.D.R. MOCAUTO SRL,IT02848530180,02848530180,PV0305837,02848530180,"VIA GIORGIO BIDONE, 45",Pavia,27058,Lombardia,,,,,453101,20/09/2021,,Attiva,S.R.L.
1537.,TRINA SOLAR ITALY CONSTRUCTION S.R.L.,IT12124470969,12124470969,MI2641959,12124470969,"PZA BORROMEO, 14",Milano,20123,Lombardia,PIAZZA BORROMEO 14,Milano,20123,LOMBARDIA,432101,25/11/2021,,Attiva,S.R.L.
1538.,BOREA S.R.L.,IT01705350088,01705350088,GE0501454,01705350088,"VIA CASTEL MORRONE, 9",Genova,16161,Liguria,VIA CASTEL MORRONE 9 R,Genova,16161,LIGURIA,467420,23/09/2019,,Attiva,S.R.L.
1539.,VESCO CLAYS ITALY S.R.L.,IT03927410369,03927410369,MO0429036,03927410369,"VIA SARAGOZZA, 130",Modena,41121,Emilia-Romagna,VIA SARAGOZZA 130,Modena,41121,EMILIA-ROMAGNA,467690,30/07/2020,,Attiva,S.R.L.
1540.,MAZZUCCONI BERGAMO S.R.L.,IT04559790169,04559790169,BG0472096,04559790169,"VIA GIUSEPPE MAZZINI, 10",Bergamo,24036,Lombardia,VIA GIUSEPPE MAZZINI 10,Bergamo,24036,LOMBARDIA,245300,10/11/2021,,Attiva,S.R.L.
1541.,EURORUBBER INDUSTRIES S.R.L.,IT02926680345,02926680345,PR0277995,02926680345,"STR TARONA, 8",Parma,43010,Emilia-Romagna,STRADA TARONA 8,Parma,43010,EMILIA-ROMAGNA,221909,10/12/2019,,Attiva,S.R.L.
1542.,VDZ SRL,IT05235680286,05235680286,PD0453555,05235680286,"VIA MARCO POLO, 3",Padova,35020,Veneto,,,,,245100,30/07/2019,,Attiva,S.R.L.
1543.,FACCHETTI MACCHINE AGRICOLE S.R.L. IN SIGLA FACCHETTI S.R.L.,IT04149940985,04149940985,BS0592589,04149940985,"VIA BARGNANA, 12",Brescia,25030,Lombardia,VIA BARGNANA 12,Brescia,25030,LOMBARDIA,331270,13/12/2019,,Attiva,S.R.L.
1544.,DESMO SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,IT16437731009,16437731009,RM1656642,16437731009,"VIA GENOVA, 23",Roma,00184,Lazio,VIA GENOVA 23,Roma,00184,LAZIO,421100,06/12/2021,,Attiva,Società consortile a responsabilita' limitata
1545.,PRIME 02 S.R.L.,IT14595711004,14595711004,RM1532363,14595711004,"VIA BARBERINI, 29",Roma,00100,Lazio,,,,,412000,09/01/2018,,Attiva,S.R.L.
1546.,SINERGIA 5.0 S.R.L. IN FORMA ABBREVIATA S 5.0 S.R.L.,IT11078700967,11078700967,MI2578097,11078700967,STR DI OLGIA VECCHIA,Milano,20054,Lombardia,STRADA DI OLGIA VECCHIA SNC,Milano,20054,LOMBARDIA,469000,12/12/2019,,Attiva,S.R.L.
1547.,CONIPER SRL,IT02074350675,02074350675,TE0176706,02074350675,"CNT RIO MORO, SNC",Teramo,64010,Abruzzo,CONTRADA RIO MORO SNC,Teramo,64010,ABRUZZO,471110,05/06/2020,,Attiva,S.R.L.
1548.,TELCOM SRL,IT12377910968,12377910968,MI2657606,12377910968,"CSO EUROPA, 15",Milano,20122,Lombardia,,,,,619091,20/04/2022,,Attiva,S.R.L.
1549.,ELETTA S.R.L.,IT11333810965,11333810965,MI2595431,11333810965,"VIA MELCHIORRE GIOIA, 8",Milano,20124,Lombardia,VIA MELCHIORRE GIOIA 8,Milano,20124,LOMBARDIA,412000,13/07/2020,,Attiva,S.R.L.
1550.,INTERCABLE TOOLS S.R.L.,IT03044730210,03044730210,BZ0227081,03044730210,"VIA DEI CAMPI DELLA RIENZA, 21",Bolzano/Bozen,39031,Trentino-Alto Adige/Südtirol,VIA DEI CAMPI DELLA RIENZA 21,Bolzano/Bozen,39031,TRENTINO-ALTO,257311,20/06/2019,,Attiva,S.R.L.
1551.,ARMES S.P.A.,IT04371620248,04371620248,VI0399149,04371620248,"VIA BIVIO SAN VITALE, 58",Vicenza,36075,Veneto,STRADA PADANA VERSO VERONA 101,Vicenza,36100,VENETO,251100,27/10/2021,,Attiva,S.P.A.
1552.,QUANTUMCORRUGATED S.R.L.,IT11088590960,11088590960,MI2578822,11088590960,"VIA TORINO, 61",Milano,20123,Lombardia,VIA LECCO 72,Monza e della Brianza,20871,LOMBARDIA,289500,18/12/2019,,Attiva,S.R.L.
1553.,ANCO SRL,IT03785480926,03785480926,CA0297594,03785480926,"VIA ROMA, 151",Sud Sardegna,09039,Sardegna,VIA ROMA 151,,09039,SARDEGNA,471120,22/05/2018,,Attiva,S.R.L.
1554.,SOCIETA' TECNOLOGIE INNOVATIVE S.R.L.,IT02977500590,02977500590,LT0214343,02977500590,"VIA ANTONIO CHIARUCCI, 1",Latina,04012,Lazio,VIA ANTONIO CHIARUCCI 1,Latina,04012,LAZIO,412000,06/03/2018,,Attiva,S.R.L.
1555.,GD S.R.L.,IT02659270462,02659270462,LU0253608,02659270462,"VIA DELLE CERBAIE, 41",Lucca,55011,Toscana,VIA DELLE CERBAIE 41/43,Lucca,55011,TOSCANA,464210,08/02/2023,,Attiva,S.R.L.
1556.,STABILA 2 S.R.L.,IT04650130232,04650130232,VR0437895,04650130232,"VIA ALESSANDRO CANOBBIO, 34",Verona,37132,Veneto,VIA ALESSANDRO CANOBBIO 34,Verona,37132,VENETO,233200,11/06/2019,,Attiva,S.R.L.
1557.,SCHOLL'S WELLNESS COMPANY S.R.L.,IT12038810961,12038810961,MI2636354,12038810961,"CSO VERCELLI, 40",Milano,20145,Lombardia,,,,,464630,05/10/2021,,Attiva,S.R.L.
1558.,ARCANSAS PROFILI S.R.L.,IT02722730419,02722730419,PS0264937,02722730419,"VIA CERBARA, SN",Pesaro e Urbino,61038,Marche,VIA CERBARA SNC,,61038,MARCHE,243302,28/05/2020,,Attiva,S.R.L.
1559.,MED SEALOG SOCIETA' A RESPONSABILITA' LIMITATA,IT04609050275,04609050275,VE0432777,04609050275,VIA ISTITUTO SANTA MARIA DELLA PIET,Venezia,30173,Veneto,,,,,494100,03/06/2020,,Attiva,S.R.L.
1560.,AZIENDA TRASPORTI MESSINA S.P.A.,IT03573940834,03573940834,ME0246800,03573940834,"VIA GIUSEPPE LA FARINA, 336",Messina,98124,Sicilia,VIA GIUSEPPE LA FARINA 336,Messina,98124,SICILIA,493100,17/06/2019,,Attiva,S.P.A.
1561.,GDA S.R.L.,IT06725030826,06725030826,PA0411145,06725030826,"VLE UGO LA MALFA, 3",Palermo,90146,Sicilia,VIA UGO LA MALFA 3,Palermo,90146,SICILIA,471120,03/10/2018,,Attiva,S.R.L.
1562.,SPRINT ENERGY SRL,IT10549760964,10549760964,MB2540330,10549760964,"VLE SANTUARIO, 20",Monza e della Brianza,20831,Lombardia,VIALE SANTUARIO 20,Monza e della Brianza,20831,LOMBARDIA,351400,21/11/2018,,Attiva,S.R.L.
1563.,G4 SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA,IT12585140960,12585140960,MI2671521,12585140960,"VIA ALFREDO CAMPANINI, 12",Milano,20124,Lombardia,,,,,521010,30/09/2022,,Attiva,Società consortile a responsabilita' limitata
1564.,MERCATO METALLI S.R.L.,IT04647990409,04647990409,FO0429424,04647990409,"VIA DEL CADORE, 7",Forlì-Cesena,47035,Emilia-Romagna,,,,,467710,04/10/2022,,Attiva,S.R.L.
1565.,EFFICIENT BUILDING S.P.A.,IT02620410221,02620410221,TN0237845,02620410221,"VIA DEI SOLTERI, 74",Trento,38121,Trentino-Alto Adige/Südtirol,VIA DEI SOLTERI 74,Trento,38121,TRENTINO-ALTO,412000,24/02/2021,,Attiva,S.P.A.
1566.,S.I.A.V. RETAIL S.R.L.,IT04462660400,04462660400,FO0413679,04462660400,"VIA DEI MERCANTI, 3",Forlì-Cesena,47122,Emilia-Romagna,,,,,682002,25/06/2019,,Attiva,S.R.L.
1567.,CAMS SERVIZI EDILI SRL,IT02802550356,02802550356,RE0314893,02802550356,"VLE REGINA MARGHERITA, 5",Reggio nell'Emilia,42046,Emilia-Romagna,STRADA ALESSANDRO VOLTA 2,Reggio nell'Emilia,42046,EMILIA-ROMAGNA,412000,16/04/2018,,Attiva,S.R.L.
1568.,COFFEIN COMPAGNIE ITALY S.R.L. CON SOCIO UNICO,IT00103360095,00103360095,MI2562681,00103360095,"VIA GIUSEPPE ROVANI, 7",Milano,20123,Lombardia,REGIONE ABISSINIA LOCALITA' LAGO AZZURRO SNC,Savona,17031,LIGURIA,201409,17/06/2019,,Attiva,S.R.L.
1569.,VOLARE LOYALTY SOCIETA' PER AZIONI,IT12281660964,12281660964,MI2651110,12281660964,"VLE GIULIO RICHARD, 3/A",Milano,20143,Lombardia,PIAZZA SAN BABILA 4/A,Milano,20122,LOMBARDIA,522300,24/02/2022,,Attiva,S.P.A.
1570.,ZUEGG LUOGOSANO S.R.L.,IT03138550649,03138550649,AV0300768,03138550649," INDUSTRIALE, 3",Avellino,83040,Campania,,,,,103200,05/10/2022,,Attiva,S.R.L.
1571.,DOCTOLIB S.R.L.,IT11537360965,11537360965,MI2609715,11537360965,"VIA VITTOR PISANI, 19",Milano,20124,Lombardia,CORSO GIACOMO MATTEOTTI 1,Milano,20121,LOMBARDIA,620100,08/01/2021,,Attiva,S.R.L.
1572.,ARBOREA LIVING IL BELVEDERE SRL,IT11345450966,11345450966,MI2596235,11345450966,"VIA GIOSUE' CARDUCCI, 32",Milano,20123,Lombardia,VIA GIOSUE' CARDUCCI 32,Milano,20123,LOMBARDIA,412000,21/07/2020,,Attiva,S.R.L.
1573.,WE TRADE SRL,IT04331130163,04331130163,BG0454614,04331130163,"PLE RISORGIMENTO, 14",Bergamo,24128,Lombardia,PIAZZALE RISORGIMENTO 14,Bergamo,24128,LOMBARDIA,256200,24/10/2018,,Attiva,S.R.L.
1574.,LELIT ITALY S.R.L.,IT04401150984,04401150984,BS0611848,04401150984,"VLE DEL LAVORO, 45",Brescia,25045,Lombardia,,,,,464310,14/07/2022,,Attiva,S.R.L.
1575.,PARATUS SRL,IT01704390085,01704390085,IM0217866,01704390085,"VIA ROMA, 107",Imperia,18019,Liguria,,,,,471120,04/09/2019,,Attiva,S.R.L.
1576.,TURBO SYSTEMS ITALY S.P.A.,IT11934950962,11934950962,MI2631509,11934950962,"VIA VITTOR PISANI, 16",Milano,20124,Lombardia,VIA VITTOR PISANI 16,Milano,20124,LOMBARDIA,331210,22/07/2021,,Attiva,S.P.A.
1577.,PASTIFICIO TAMMA S.R.L.,IT04351940715,04351940715,FG0320635,04351940715,"CSO DEL MEZZOGIORNO, 15",Foggia,71122,Puglia,,,,,107300,30/03/2021,,Attiva,S.R.L.
1578.,P.A. GROUP S.P.A.,IT02787920814,02787920814,TP0197026,02787920814,"CSO CALATAFIMI, 68",Trapani,91025,Sicilia,CORSO CALATAFIMI 68/O,Trapani,91025,SICILIA,102000,23/12/2020,,Attiva,S.P.A.
1579.,MEXEDIA SOCIETA' PER AZIONI - SOCIETA' BENEFIT,IT15997541006,15997541006,RM1627922,15997541006,"VIA DI AFFOGALASINO, 105",Roma,00148,Lazio,VIA DI AFFOGALASINO 105,Roma,00148,LAZIO,619099,12/01/2021,,Attiva,S.P.A.
1580.,POLESTAR AUTOMOTIVE ITALY S.R.L.,IT16639841002,16639841002,MI2662843,16639841002,"VIA CARLO OTTAVIO CORNAGGIA, 10",Milano,20123,Lombardia,,,,,479110,25/03/2022,,Attiva,S.R.L.
1581.,GORETTI S.R.L.,IT02783180421,02783180421,AN0214668,02783180421,"VIA GIACOMO BRODOLINI, 4",Ancona,60030,Marche,VIA GIACOMO BRODOLINI 4,Ancona,60030,MARCHE,152020,05/04/2018,,Attiva,S.R.L.
1582.,FORMASAL DISTRIBUZIONE S.R.L.,IT14918981003,14918981003,RM1556305,14918981003,"VIA COURMAYEUR, 79/2",Roma,00135,Lazio,STRADA CASSIA NORD,Viterbo,01100,LAZIO,469000,05/09/2018,,Attiva,S.R.L.
1583.,NATIVA 2018 SRL,IT04583470234,04583470234,VR0432627,04583470234,"VLE DEL LAVORO, 25/27",Verona,37060,Veneto,VIALE DEL LAVORO 25/27,Verona,37060,VENETO,101100,30/08/2018,,Attiva,S.R.L.
1584.,DOLOMITES MILK SRL,IT02982020212,02982020212,BZ0221867,02982020212,"VIA GASTERER, 3",Bolzano/Bozen,39054,Trentino-Alto Adige/Südtirol,VIA GASTERER 3,Bolzano/Bozen,39054,TRENTINO-ALTO,105120,18/01/2018,,Attiva,S.R.L.
1585.,THE ATTICO S.R.L.,IT10306640961,10306640961,MI2521499,10306640961,"PZA CASTELLO, 4",Milano,20121,Lombardia,PIAZZA CASTELLO 4,Milano,20121,LOMBARDIA,741010,29/03/2018,,Attiva,S.R.L.
1586.,CYTIVA ITALY S.R.L.,IT12371320966,12371320966,MI2657105,12371320966,"VIA EMILIA, 26",Milano,20090,Lombardia,,,,,466991,06/04/2022,,Attiva,S.R.L.
1587.,HILL'S PET NUTRITION MANUFACTURING S.R.L.,IT02668390202,02668390202,MN0270773,02668390202,"VIA GERRA, 3",Mantova,46043,Lombardia,,,,,109200,09/03/2022,,Attiva,S.R.L.
1588.,E'-DIENERGIA SRL,IT05170270283,05170270283,PD0448540,05170270283,"VIA DOLOMITI, 21",Padova,35018,Veneto,VIA CA' DOLFIN 18,Padova,35010,VENETO,351400,17/10/2018,,Attiva,S.R.L.
1589.,RETEKLIMA S.R.L.,IT02515790224,02515790224,TN0230397,02515790224,"VIA DOSSO DOSSI, 6",Trento,38121,Trentino-Alto Adige/Südtirol,VIA DOSSO DOSSI 6,Trento,38121,TRENTINO-ALTO,412000,26/07/2018,,Attiva,S.R.L.
1590.,ALEPH SRL,IT10632220967,10632220967,MI2546358,10632220967,"VIA ARIBERTO, 20",Milano,20123,Lombardia,,,,,461892,22/01/2019,,Attiva,S.R.L.
1591.,TECNO-TRADES S.R.L.,IT03903840365,03903840365,MO0427162,03903840365,"PZA DELLA LIBERTA', 31",Modena,41053,Emilia-Romagna,PIAZZA LIBERTA' 31,Modena,41053,EMILIA-ROMAGNA,465201,23/01/2020,,Attiva,S.R.L.
1592.,WEGREENIT HOLDING SRL,IT10976830967,10976830967,MI2570347,10976830967,"PLE LORETO, 17",Milano,20131,Lombardia,PIAZZALE LORETO 17,Milano,20131,LOMBARDIA,412000,20/09/2019,,Attiva,S.R.L.
1593.,ESSECI ITALIA S.P.A.,IT09521941212,09521941212,NA1038317,09521941212,VIA VARIANTE 7 BIS,Napoli,80035,Campania,VIA PROVINCIALE SARNO 157,Salerno,84014,CAMPANIA,464210,11/06/2020,,Attiva,S.P.A.
1594.,EURO ALIMENTARI SRL,IT04348720618,04348720618,CE0319529,04348720618,"VIA FRA LUIGI MONACO CIS SEGES, 15",Caserta,81054,Campania,VIA FRA LUIGI MONACO CIS SEGES 15,Caserta,81054,CAMPANIA,471140,17/09/2018,,Attiva,S.R.L.
1595.,PG MASTER SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA,IT05009320754,05009320754,NA1071054,05009320754,"CSO VITTORIO EMANUELE, 328",Napoli,80030,Campania,,,,,412000,02/04/2019,,Attiva,S.R.L. semplificata
1596.,L.T. COSTRUZIONI GENERALI S.R.L.,IT02629810397,02629810397,RA0218721,02629810397," LIRICA, 49",Ravenna,48124,Emilia-Romagna,,,,,412000,18/02/2019,,Attiva,S.R.L.
1597.,DRMAX ECOMM ITALIA S.R.L.,IT03979781204,03979781204,BO0560222,03979781204," LAVORO, 47",Bologna,40033,Emilia-Romagna,VIA ISONZO 69,Bologna,40033,EMILIA-ROMAGNA,477320,11/10/2021,,Attiva,S.R.L.
1598.,FRIULBRAU S.R.L.,IT04718490271,04718490271,VE0443930,04718490271,"VIA MEDUNA, 23",Venezia,30028,Veneto,,,,,463420,21/03/2022,,Attiva,S.R.L.
1599.,RIEXO S.P.A.,IT12253470962,12253470962,MI2650417,12253470962,"VIA MONTE DI PIETA', 19",Milano,20121,Lombardia,VIA MONTE DI PIETA' 19,Milano,20121,LOMBARDIA,467720,10/02/2022,,Attiva,S.P.A.
1600.,VITTORIA S.P.A.,IT03828810360,03828810360,BS0602325,03828810360,"STR PER VEROLANUOVA, 6",Brescia,25020,Lombardia,STRADA PER VEROLANUOVA 6,Brescia,25020,LOMBARDIA,463310,23/10/2018,,Attiva,S.P.A.
1601.,SUNERG SOLAR ENERGY S.R.L.,IT03728000542,03728000542,PG0309830,03728000542,"VIA DONINO DONINI, 51",Perugia,06012,Umbria,,,,,271100,20/02/2020,,Attiva,S.R.L.
1602.,BF COMMODITIES SRL,IT12737640966,12737640966,MI2681175,12737640966,"VIA DOMODOSSOLA, 17",Milano,20145,Lombardia,,,,,467100,13/01/2023,,Attiva,S.R.L.
1603.,CIVITA FORUM SRL,IT02067760435,02067760435,MC0276801,02067760435,"VIA COSTANTINO, 98",Macerata,62012,Marche,,,,,471110,20/10/2021,,Attiva,S.R.L.
1604.,BONZAI S.P.A.,IT10675200967,10675200967,MI2548935,10675200967,"CSO ITALIA, 22",Milano,20122,Lombardia,VIA CAVALIERE DEL LAVORO LUIGI BONZANO 4,Alessandria,15033,PIEMONTE,522922,05/02/2019,,Attiva,S.P.A.
1605.,SMAF SERVICES S.R.L.,IT15798521009,15798521009,RM1614816,15798521009,"VIA BONCOMPAGNI, 16",Roma,00187,Lazio,VIA BONCOMPAGNI 16,Roma,00187,LAZIO,473000,27/07/2020,,Attiva,S.R.L.
1606.,IL PARCO DELLE FAVOLE SOC. COOP.,IT10384700968,10384700968,MI2527569,10384700968,"VIA MARIO PAGANO, 49",Milano,20145,Lombardia,VIA MARIO PAGANO 49,Milano,20145,LOMBARDIA,412000,12/06/2018,,Attiva,S.C.A.R.L.P.A.
1607.,SNAM FSRU ITALIA S.R.L.,IT11313580968,11313580968,MI2593890,11313580968,"PZA SANTA BARBARA, 7",Milano,20097,Lombardia,PIAZZA SANTA BARBARA 7,Milano,20097,LOMBARDIA,522201,23/06/2020,,Attiva,S.R.L.
1608.,ALGAM EKO SRL,IT02026450433,02026450433,MC0263099,02026450433,"VIA GIOVANNI FALLERONI, 92",Macerata,62019,Marche,VIA OLIVIERO PIGINI 8,Macerata,62010,MARCHE,469000,06/02/2020,,Attiva,S.R.L.
1609.,CASTIGLIA COSTRUZIONI INDUSTRIALI S.R.L.,IT01795270097,01795270097,SV0216800,01795270097,"VIA FORNACE VECCHIA, 21",Savona,17043,Liguria,,,,,412000,30/05/2019,,Attiva,S.R.L.
1610.,WAICO S.R.L.,IT04374140244,04374140244,VI0399347,04374140244,"VIA SCOTTE, 1",Vicenza,36033,Veneto,VIA SCOTTE 1,Vicenza,36033,VENETO,289300,15/11/2021,,Attiva,S.R.L.
1611.,MAZZINI 2021 S.R.L.,IT16164901007,16164901007,RM1638744,16164901007,"VIA DI TORREVECCHIA, 1050",Roma,00168,Lazio,VIA DI TORREVECCHIA 1050,Roma,00168,LAZIO,471120,29/04/2021,,Attiva,S.R.L.
1612.,F&R S.R.L. - E2K FACILITY & RENOVATION,IT11475630965,11475630965,MI2605632,11475630965,STR 3,Milano,20057,Lombardia,STRADA 1 PALAZZO E1 SNC,Milano,20057,LOMBARDIA,811000,13/11/2020,,Attiva,S.R.L.
1613.,SMILE ROMA MARKET S.R.L.,IT15357731007,15357731007,RM1585004,15357731007,"VIA IGINO LEGA, 12",Roma,00189,Lazio,VIA IGINO LEGA 12,Roma,00189,LAZIO,471120,11/07/2019,,Attiva,S.R.L.
1614.,PROSIDER SRL,IT04098180989,04098180989,BS0588196,04098180989,"VIA CADUTI LIBERTA', 15",Brescia,25021,Lombardia,VIA CADUTI LIBERTA' 15,Brescia,25021,LOMBARDIA,467210,03/05/2019,,Attiva,S.R.L.
1615.,ARKY S.R.L.,IT11276910962,11276910962,MI2591386,11276910962,STR 8 PALAZZO N MILANOFIORI,Milano,20089,Lombardia,,,,,412000,26/05/2020,,Attiva,S.R.L.
1616.,FUNIVIA PLAN DE CORONES SRL,IT03094540212,03094540212,BZ0231618,03094540212,"VIA FUNIVIA, 10",Bolzano/Bozen,39031,Trentino-Alto Adige/Südtirol,VIA FUNIVIA 10,Bolzano/Bozen,39031,TRENTINO-ALTO,493901,15/10/2020,,Attiva,S.R.L.
1617.,NIELSEN MEDIA ITALY S.R.L.,IT11227560965,11227560965,MI2588448,11227560965,"STR 6 MILANOFIORI, SNC",Milano,20057,Lombardia,"MILANOFIORI, STRADA 6 SNC",Milano,20057,LOMBARDIA,732000,11/03/2020,,Attiva,S.R.L.
1618.,IL FIORINO MARMI S.R.L.,IT01388940452,01388940452,MS0137121,01388940452,"VIA CARRIONA, 388",Massa-Carrara,54033,Toscana,VIA CARRIONA 388,Massa-Carrara,54033,TOSCANA,237010,02/10/2018,,Attiva,S.R.L.
1619.,CARNI PIU' SRL,IT04264180714,04264180714,FG0314086,04264180714,"VIA SAN GIUSEPPE MOSCATI, 21",Foggia,71017,Puglia,VIA SAN GIUSEPPE MOSCATI 21,Foggia,71017,PUGLIA,101300,01/08/2019,,Attiva,S.R.L.
1620.,A2MRETAILABRUZZO SRL,IT02284250681,02284250681,PE0411448,02284250681,"VLE LEONARDO PETRUZZI, 140",Pescara,65013,Abruzzo,VIALE LEONARDO PETRUZZI 140,Pescara,65013,ABRUZZO,471110,06/02/2020,,Attiva,S.R.L.
